journey_id,train_no,train_name,source_station,destination_station,zone,distance_km,journey_date,year,month,season,scheduled_arrival,actual_arrival,delay_mins,delay_category,delay_reason,platform_no,passengers_count,train_type
JRN1000,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-09-10,2022,September,Monsoon,10:15,12:14,119,Major Delay,Landslide near track,8,783,Superfast
JRN1001,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-01-12,2022,January,Winter,04:30,04:39,9,Minor Delay,Late running due to fog,1,777,Express
JRN1002,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2022-05-14,2022,May,Summer,15:45,17:28,103,Major Delay,Congestion at junction,4,868,Superfast
JRN1003,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2022-07-15,2022,July,Monsoon,09:15,11:53,158,Severe Delay,Signal failure due to rain,8,698,Superfast
JRN1004,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2023-01-14,2023,January,Winter,23:15,00:05,50,Moderate Delay,Track inspection,6,612,Express
JRN1005,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2022-01-17,2022,January,Winter,20:15,21:08,53,Moderate Delay,Cold wave speed restriction,6,566,Superfast
JRN1006,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-01-19,2022,January,Winter,11:00,11:33,33,Moderate Delay,Late running due to fog,7,533,Express
JRN1007,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2024-10-27,2024,October,Winter,20:30,21:41,71,Major Delay,Dense fog signal restriction,4,811,Superfast
JRN1008,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2024-06-01,2024,June,Monsoon,22:15,00:13,118,Major Delay,Heavy rainfall on track,1,679,Superfast
JRN1009,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2022-05-15,2022,May,Summer,09:45,10:19,34,Moderate Delay,Track maintenance,5,675,Express
JRN1010,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2023-09-02,2023,September,Monsoon,23:30,23:30,0,On Time,No Delay,1,580,Express
JRN1011,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2022-02-28,2022,February,Winter,22:15,23:39,84,Major Delay,Late running due to fog,2,745,Express
JRN1012,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2024-08-26,2024,August,Monsoon,13:30,15:57,147,Severe Delay,Landslide near track,3,855,Mail
JRN1013,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2023-11-20,2023,November,Winter,08:30,08:30,0,On Time,No Delay,5,717,Superfast
JRN1014,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2023-11-20,2023,November,Winter,22:30,23:29,59,Moderate Delay,Dense fog signal restriction,5,906,Superfast
JRN1015,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2022-07-12,2022,July,Monsoon,05:30,06:38,68,Major Delay,Signal failure due to rain,5,575,Superfast
JRN1016,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2023-09-13,2023,September,Monsoon,04:00,06:53,173,Severe Delay,Landslide near track,2,675,Express
